SL.NO,NAME,DESIGNATION,Scopus_Link,WOS_Link,Scopus_ID,WOS_ID
27,Akshatha M,Asst. Prof.,https://www.scopus.com/results/authorNamesList.uri?sort=count-f&src=al&affilName=Vidyavardhaka+College+of+Engineering&sid=ea0fa4bd167b53bd3ec56c66d866ab8a&sot=al&sdt=al&sl=87&s=AUTHLASTNAME%28Akshatha%29+AND+AUTHFIRST%28M%29+AND+AFFIL%28Vidyavardhaka+College+of+Engineering%29&st1=Akshatha&st2=M&orcidId=&selectionPageSearch=anl&reselectAuthor=false&activeFlag=true&showDocument=false&resultsPerPage=20&offset=1&jtp=false&currentPage=1&previousSelectionCount=0&tooManySelections=false&previousResultCount=0&authSubject=LFSC&authSubject=HLSC&authSubject=PHSC&authSubject=SOSC&exactAuthorSearch=false&showFullList=false&authorPreferredName=&origin=searchauthorfreelookup&affiliationId=&txGid=febb5713556558578b05658197496a19,,19,NA
28,Lakshmi B S,Asst. Prof.,https://www.scopus.com/results/authorNamesList.uri?sort=count-f&src=al&affilName=Vidyavardhaka+College+of+Engineering&sid=0303b3a3533b0316cba0e90db7c097b4&sot=al&sdt=al&sl=88&s=AUTHLASTNAME%28Lakshmi%29+AND+AUTHFIRST%28B+S%29+AND+AFFIL%28Vidyavardhaka+College+of+Engineering%29&st1=Lakshmi&st2=B+S&orcidId=&selectionPageSearch=anl&reselectAuthor=false&activeFlag=true&showDocument=false&resultsPerPage=20&offset=1&jtp=false&currentPage=1&previousSelectionCount=0&tooManySelections=false&previousResultCount=0&authSubject=LFSC&authSubject=HLSC&authSubject=PHSC&authSubject=SOSC&exactAuthorSearch=false&showFullList=false&authorPreferredName=&origin=searchauthorfreelookup&affiliationId=&txGid=aa4fea21c35f7fc583bb154c98e414c3,,3,NA
29,Kavitha D N,Asst. Prof.,,,NA,NA
30,Gayana J Kumar,Asst. Prof.,,,NA,NA
31,Chaitra N C,Asst. Prof.,,,NA,NA
32,Aishwarya M,Asst. Prof.,,,NA,NA
33,Dr. Madhusudhan H S,Assoc. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57249954500,https://www.webofscience.com/wos/author/record/2514345,57249954500,NA
34,Dr. Vedavathi N,Assoc. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57223995588,https://www.webofscience.com/wos/author/record/48002805,57223995588,NA
35,Suraksha P,Asst. Prof.,,,NA,NA
36,Anil Kumar B H,Asst. Prof.,https://www.scopus.com/authid/detail.uri?authorId=58849651900,,58849651900,NA
37,Harshitha Suresh,Asst. Prof.,https://www.scopus.com/results/authorNamesList.uri?sort=count-f&src=al&affilName=Vidyavardhaka+College+of+Engineering&sid=2df86183e3f6275e11385aa2f77043a5&sot=al&sdt=al&sl=93&s=AUTHLASTNAME%28Suresh%29+AND+AUTHFIRST%28Harshitha%29+AND+AFFIL%28Vidyavardhaka+College+of+Engineering%29&st1=Suresh&st2=Harshitha&orcidId=&selectionPageSearch=anl&reselectAuthor=false&activeFlag=true&showDocument=false&resultsPerPage=20&offset=1&jtp=false&currentPage=1&previousSelectionCount=0&tooManySelections=false&previousResultCount=0&authSubject=LFSC&authSubject=HLSC&authSubject=PHSC&authSubject=SOSC&exactAuthorSearch=false&showFullList=false&authorPreferredName=&origin=searchauthorfreelookup&affiliationId=&txGid=2ab618ac3da6de164076418b87481aa0,,0,NA
38,Arpitha A,Asst. Prof.,,,NA,NA

